хабр: хабр
откр: открыть
список: список
стат: стать статьи
автор: автором авторы авторов
поток: потоки
разработк: разработка
администрирован: администрирование
дизайн: дизайн
менеджмент: менеджмент
маркетинг: маркетинг
научпоп: научпоп
поиск: поиск поиску
профил: профиль
обнов: обновить
карм: карма
рейтинг: рейтинг рейтинге
арт: артем
летюш: летюшев
публикац: публикации
комментар: комментарии
закладк: закладки
ещ: ещ
подписчик: подписчики
подписк: подписки
значк: значки
захабрен: захабренный
приглаш: приглашен
феврал: февраля
приглашен: приглашению
нло: нло
выступа: выступаю
люб: любых
рол: ролях
совокупн: совокупно
опыт: опыта опыте
разнообразн: разнообразные
сертификац: сертификации
мо: моем
прочита: прочитать
пиш: пишу
митап: митапах
организ: организую
вед: веду
телегр: телеграм
кана: канал
проектн: проектному
управлен: управлению
администрир: администрирую
групп: группы группу
работ: работы
цел: целом
сонм: сонме
сообществ: сообществ
менеджер: менеджеров
возможн: возможно
видел: видел
преподавател: преподаватель
лидер: лидеров
гильд: гильдии
мтс: мтс
волонтер: волонтер волонтером
университет: университете
итм: итмо
явля: являюсь
информац: информация
й: й
откуд: откуда
санкт: санкт
петербург: петербург
област: область
росс: россия
дат: дата
рожден: рождения
сентябр: сентября
зарегистрирова: зарегистрирован
активн: активность
вчер: вчера
специализац: специализация
аккаунт: аккаунт
войт: войти
регистрац: регистрация
раздел: разделы
новост: новости
хаб: хабы
компан: компании компаний
песочниц: песочница
устройств: устройство
сайт: сайта
документ: документы
соглашен: соглашение
конфиденциальн: конфиденциальность
услуг: услуги
корпоративн: корпоративный
блог: блог
медийн: медийная
реклам: реклама
нативн: нативные
проект: проекты
образовательн: образовательные
программ: программы
стартап: стартапам
спецпроект: спецпроекты
яндекс: яндекс
дзен: дзен
настройк: настройка
язык: языка
техническ: техническая
поддержк: поддержка
вернут: вернуться
стар: старую
верс: версию
renew: renewal
studio: studio
scrum: scrum
master: master
pm: pm
sm: sm
dm: dm
psm: psm
i: i
kmp: kmp
icagil: icagile
icp: icp
atf: atf
acc: acc
safe: safe
ssm: ssm
rte: rte
www: www
linkedin: linkedin
artemletyushev: artemletyushev
junior: junior
project: projects project
job: jobs
agil: agile
ru: ru
club: club
pmi: pmi
manag: manager
middl: middle
facebook: facebook
twitter: twitter
vk: vk
telegram: telegram
youtub: youtube
habr: habr
