хабр: хабр
откр: открыть
список: список
стат: стать
автор: автором авторы авторов
поток: потоки
разработк: разработка
администрирован: администрирование
дизайн: дизайн
менеджмент: менеджмент
маркетинг: маркетинг
научпоп: научпоп
поиск: поиск
профил: профиль
обнов: обновить
карм: карма
рейтинг: рейтинг рейтинге
дмитр: дмитрий
разработчик: разработчик
программн: программного
обеспечен: обеспечения
публикац: публикации
комментар: комментарии
закладк: закладки
ещ: ещ
подписчик: подписчики
подписк: подписки
значк: значки
захабрен: захабренный
приглаш: приглашен
март: марта
приглашен: приглашению
нло: нло
контактн: контактная
информац: информация
й: й
откуд: откуда
екатеринбург: екатеринбург
свердловск: свердловская
обл: обл
росс: россия
зарегистрирова: зарегистрирован
июл: июля
активн: активность
специализац: специализация
аккаунт: аккаунт
войт: войти
регистрац: регистрация
раздел: разделы
новост: новости
хаб: хабы
компан: компании компаний
песочниц: песочница
устройств: устройство
сайт: сайта
документ: документы
соглашен: соглашение
конфиденциальн: конфиденциальность
услуг: услуги
корпоративн: корпоративный
блог: блог
медийн: медийная
реклам: реклама
нативн: нативные
проект: проекты
образовательн: образовательные
программ: программы
стартап: стартапам
мегапроект: мегапроекты
яндекс: яндекс
дзен: дзен
настройк: настройка
язык: языка
техническ: техническая
поддержк: поддержка
вернут: вернуться
стар: старую
верс: версию
dmitryzlobec: dmitryzlobec
dmitri: dmitry
petrenko: petrenko
github: github
backend: backend
develop: developer
chief: chief
technolog: technology
offic: officer
cto: cto
lead: lead
git: git
sql: sql
oop: oop
java: java
docker: docker
ci: ci
cd: cd
rest: rest
spring: spring
framework: framework
boot: boot
linux: linux
facebook: facebook
twitter: twitter
vk: vk
telegram: telegram
youtub: youtube
habr: habr
